Uso,Palabra en inglés,Traducción al español
1,the,el/la
2,of,de
3,and,y
4,to,a
5,in,en
6,I,yo
7,that,ese/aquél
8,was,fue
9,he,él
10,his,su
11,it,eso/ello
12,with,con
13,is,es
14,for,para
15,as,como
16,had,tenía
17,you,tú/usted
18,not,no
19,be,ser/estar
20,on,en/sobre
21,at,en/a
22,her,su
23,by,por
24,which,qué/cual
25,have,tener
26,or,o
27,from,desde
28,this,este/esta
29,him,él/le
30,but,pero
31,all,todo/todos
32,she,ella
33,were,eran
34,they,ellos/ellas
35,my,mi
36,are,son
37,me,me
38,so,entonces
39,one,uno/una
40,their,su (de ellos/as)
41,de,de
42,an,un/una
43,said,dijo
44,we,nosotros/nosotras
45,them,ellos/ellas/los/las
46,who,quién/quienes
47,would,haría
48,been,sido
49,will,voluntad
50,no,no
51,when,cuando
52,there,allí/ahí
53,if,si
54,more,más
55,out,fuera
56,up,arriba
57,any,cualquier
58,into,en/dentro de
59,do,hacer
60,your,tu
61,has,ha/tiene
62,man,hombre
63,what,qué
64,could,podría
65,other,otro
66,our,nuestro/nuestra
67,than,que/más que
68,some,algunos
69,very,muy
70,time,tiempo
71,about,acerca de
72,upon,sobre
73,may,poder
74,la,la
75,its,su (de ello)
76,only,solo/solamente
77,now,ahora
78,little,pequeño/a
79,like,como/gustar
80,then,entonces
81,can,poder
82,made,hecho
83,should,debería
84,did,hizo
85,us,nosotros/nosotras
86,such,tal
87,a,un/una
88,great,grande
89,before,antes de
90,must,debe/deber
91,these,estos/estas
92,two,dos
93,see,ver
94,over,encima de
95,know,saber/conocer
96,much,mucho
97,after,después de
98,first,primero
99,Mr,Sr.
100,down,abajo
101,good,bueno/a
102,men,hombres
103,own,propio/a
104,most,la mayoría de
105,never,nunca
106,where,donde
107,old,viejo/a
108,day,día
109,work,trabajar
110,those,esos/esa
111,come,venir
112,shall,deberá
113,himself,él mismo
114,came,vino
115,way,camino
116,without,sin
117,life,vida
118,make,hacer
119,go,ir
120,long,largo/a
121,being,siendo
122,well,bien
123,through,a través de
124,might,podría
125,say,decir
126,am,soy
127,en,en
128,too,también
129,many,muchos/as
130,even,incluso
131,again,de nuevo
132,back,atrás
133,here,aquí
134,people,gente
135,think,pensar
136,every,cada
137,same,mismo/a
138,under,bajo
139,last,último/a
140,went,fue
141,thought,pensamiento
142,les,menos
143,found,encontrado
144,take,tomar
145,still,todavía
146,hand,mano
147,place,lugar
148,also,también
149,while,mientras
150,just,justo/a
151,against,contra
152,die,morir
153,though,aunque
154,young,joven
155,years,años
156,get,obtener
157,ever,nunca
158,things,cosas
159,give,dar
160,part,parte
161,nothing,nada
162,face,cara
163,off,apagado
164,right,derecho
165,left,izquierda
166,once,una vez
167,another,otro/otra
168,god,dios
169,world,mundo
170,house,casa
171,saw,vio
172,three,tres
173,new,nuevo/a
174,always,siempre
175,took,tomó
176,put,poner
177,head,cabeza
178,love,amor
179,each,cada
180,Mrs,Sra.
181,night,noche
182,between,entre
183,son,hijo
184,few,pocos/as
185,because,porque
186,mind,mente
187,tell,decir
188,whom,a quien
189,thing,cosa
190,heart,corazón
191,far,lejos
192,lord,señor
193,seemed,pareció
194,set,conjunto
195,whole,entero/a
196,days,días
197,got,consiguió
198,country,país
199,both,ambos/ambas
200,find,encontrar
201,done,hecho/a
202,name,nombre
203,told,dijo
204,look,mirar
205,having,teniendo
206,heard,oído
207,seen,visto/a
208,let,dejar
209,going,yendo
210,better,mejor
211,home,casa/hogar
212,moment,momento
213,knew,sabía
214,side,lado
215,something,algo
216,course,curso
217,among,entre
