Uso,Palabra en inglés,Traducción al español
1,you,tú
2,I,yo
3,to,"a, hacia"
4,the,"el, la, los, las"
5,a,"un, una"
6,and,y
7,that,"eso, aquello"
8,it,"ello, eso"
9,of,de
10,me,mí
11,what,qué
12,is,es
13,in,en
14,this,"esto, esta"
15,know,"saber, conocer"
16,I'm,"soy, estoy"
17,for,para
18,no,no
19,have,"tener, haber"
20,my,mi
21,don't,"no (contracción de ""do not"")"
22,just,"solo, solamente"
23,not,no
24,do,hacer
25,be,"ser, estar"
26,on,"en, sobre"
27,your,su
28,was,"era, estaba"
29,we,nosotros
30,it's,"es (contracción de ""it is"")"
31,with,con
32,so,"así, entonces"
33,but,pero
34,all,todo
35,well,bien
36,are,son
37,he,él
38,oh,oh
39,about,"sobre, acerca de"
40,right,"correcto, derecha"
41,you're,tú estás
42,get,"obtener, conseguir"
43,here,aquí
44,out,"fuera, afuera"
45,going,yendo
46,like,"como, gustar"
47,yeah,sí
48,if,si
49,her,"ella, su"
50,she,ella
51,can,"poder, saber"
52,up,"arriba, hacia arriba"
53,want,querer
54,think,pensar
55,that's,eso es
56,now,ahora
57,go,"ir, irse"
58,him,él (objeto)
59,at,en
60,how,cómo
61,got,"tener, haber (pasado)"
62,there,"allí, ahí"
63,one,uno
64,did,hizo
65,why,por qué
66,see,ver
67,come,venir
68,good,bueno
69,they,"ellos, ellas"
70,really,realmente
71,as,como
72,would,"sería, debería"
73,look,"mirar, ver"
74,when,cuando
75,time,tiempo
76,will,"voluntad, futuro"
77,okay,"de acuerdo, bien"
78,back,"atrás, regresar"
79,can't,"no puedo, no puede"
80,mean,significar
81,tell,"decir, contar"
82,I'll,"voy a, lo haré"
83,from,"de, desde"
84,hey,hola
85,were,"estaban, eran"
86,he's,"él es (contracción de ""he is"")"
87,could,podría
88,didn't,"no hizo (contracción de ""did not"")"
89,yes,sí
90,his,"su, de él"
91,been,"sido, estado"
92,or,o
93,something,algo
94,who,quién
95,because,porque
96,some,algunos/as
97,had,tenía
98,then,entonces
99,say,decir
100,ok,"bien, vale"
101,take,"tomar, coger"
102,an,un
103,way,"camino, manera"
104,us,nosotros/as
105,little,pequeño/a
106,make,"hacer, fabricar"
107,need,necesitar
108,gonna,"va a, se va a"
109,never,nunca
110,we're,nosotros estamos
111,too,también
112,love,amor
113,she's,"ella es (contracción de ""she is"")"
114,I've,"he, he tenido"
115,sure,seguro
116,them,"ellos/as, los/as"
117,more,más
118,over,"sobre, encima de"
119,our,nuestro/a
120,sorry,"lo siento, perdonar"
121,where,"dónde, donde"
122,what's,qué es
123,let,"dejar, permitir"
124,thing,"cosa, objeto"
125,am,soy
126,maybe,"quizás, tal vez"
127,down,"abajo, descender"
128,man,hombre
129,has,"tiene, ha"
130,very,muy
131,by,"por, junto a, cerca de"
132,there's,"hay (contracción de ""there is"")"
133,should,debería
134,anything,cualquier cosa
135,said,dijo
136,much,mucho
137,any,cualquier
138,life,vida
139,even,"incluso, aun"
140,off,"apagar, fuera de"
141,please,por favor
142,doing,haciendo
143,thank,gracias
144,give,"dar, regalar"
145,only,"solo, solamente"
146,thought,pensamiento
147,help,"ayudar, ayuda"
148,two,dos
149,talk,hablar
150,people,gente
151,god,dios
152,still,todavía
153,wait,esperar
154,into,en
155,find,encontrar
156,nothing,nada
157,again,de nuevo
158,things,cosas
159,let's,vamos a
160,doesn't,no lo hace
161,call,llamar
162,told,dijo
163,great,genial
164,before,antes
165,better,mejor
166,ever,nunca
167,night,noche
168,than,que
169,away,lejos
170,first,primero
171,believe,creer
172,other,otro
173,feel,sentir
174,everything,todo
175,work,trabajar
176,you've,tienes
177,fine,bien
178,home,casa
179,after,después
180,last,último
181,these,estos
182,day,día
183,keep,mantener
184,does,hace
185,put,poner
186,around,alrededor
187,stop,detener
188,they're,están
189,I'd,tendría
190,guy,chico
191,long,largo
192,isn't,no es
193,always,siempre
194,listen,escuchar
195,wanted,quería
196,Mr,Sr.
197,guys,chicos
198,huh,eh
199,those,aquellos
200,big,grande
201,lot,mucho
202,happened,pasó
203,thanks,gracias
204,won't,no lo hará
205,trying,intentando
206,kind,tipo
207,wrong,incorrecto
208,through,a través de
209,talking,hablando
210,made,hecho
211,new,nuevo
212,being,siendo
213,guess,suponer
214,hi,hola
215,care,cuidado
216,bad,malo
217,mom,mamá
218,remember,recordar
219,getting,obteniendo
220,we'll,vamos a
221,together,juntos
222,dad,papá
223,leave,salir
224,mother,madre
225,place,lugar
226,understand,entender
227,wouldn't,no lo haría
228,actually,realmente
229,hear,oír
230,baby,bebé
231,nice,agradable
232,father,padre
233,else,otro
234,stay,quedarse
235,done,hecho
236,wasn't,no estaba
237,their,su
238,course,por supuesto
239,might,podría
240,mind,mente
241,every,cada
242,enough,suficiente
243,try,intentar
244,hell,infierno
245,came,vino
246,someone,alguien
247,you'll,tú
248,own,propio
249,family,familia
250,whole,entero
251,another,otro
252,house,casa
