Número,Ingles,Español
1,a,una
2,ability,capacidad
3,able,poder
4,about,acerca de
5,above,encima
6,acce ss,acceso
7,accept,aceptar
8,accord,acuerdo
9,account,cuenta
10,achieve,lograr
11,across,a través de
12,act,acto
13,action,acción
14,activity,actividad
15,actually,en realidad / de hecho
16,add,añadir
17,addition,adición
18,address,dirección
19,adult,adulto
20,advance,avanzar
21,advantage,ventaja
22,affect,afectar
23,after,después
24,afternoon,tarde
25,again,otra vez
26,against,en contra
27,age,años
28,agency,agencia
29,agent,agente
30,ago,hace
31,agree,de acuerdo
32,agreement,acuerdo
33,ahead,adelante
34,aim,objetivo
35,air,aire
36,all,todos
37,allow,permitir
38,almost,casi
39,alone,solo
40,along,a lo largo
41,already,ya
42,also,además
43,although,a pesar de que
44,always,siempre
45,among,entre
46,amount,cantidad
47,analysis,análisis
48,and,y
49,animal,animal
50,another,otro
51,answer,responder
52,any,alguna
53,anyone,nadie
54,anything,cualquier cosa
55,anyway,de todas formas
56,appear,aparecer
57,application,solicitud
58,apply,aplicar
59,approach,enfoque
60,area,zona
61,argue,discutir
62,argument,argumento
63,arm,brazo
64,around,alrededor
65,arrive,llegar
66,art,arte
67,article,artículo
68,as,como
69,ask,pedir
70,associate,asociar
71,assume,asumir
72,at,en
73,attack,ataque
74,attempt,intento
75,attend,asistir
76,attention,atención
77,author,autor
78,available,disponible
79,average,promedio
80,avoid,evitar
81,away,lejos
82,baby,bebé
83,back,atrás
84,bad,malo
85,balance,equilibrar
86,bank,banco
87,bar,bar
88,base,base
89,basic,básico
90,basis,base
91,be,ser o estar
92,bear,oso
93,beautiful,hermoso
94,because,porque
95,become,volverse
96,bed,cama
97,before,antes de
98,begin,empezar
99,behavior,comportamiento
100,behind,detrás
101,believe,creer
102,below,abajo
103,benefit,beneficio
104,between,entre
105,beyond,más allá
106,big,grande
107,bill,cuenta
108,bit,poco
109,black,negro
110,blue,azul
111,board,tablero
112,body,cuerpo
113,book,libro
114,both,ambos
115,box,caja
116,boy,niño
117,break,descanso
118,bring,traer
119,brother,hermano
120,build,construir
121,bus,autobús
122,business,negocio
123,but,pero
124,buy,comprar
125,by,por
126,call,llamada
127,campaign,campaña
128,can,puede
129,capital,capital
130,car,coche
131,card,tarjeta
132,care,cuidado
133,career,carrera
134,carry,llevar
135,case,caso
136,catch,captura
137,cause,porque
138,cell,célula
139,cent,centavo
140,center,centrar
141,central,central
142,century,siglo
143,certain,cierto
144,certainly,ciertamente
145,challenge,reto
146,chance,oportunidad
147,change,cambio
148,character,personaje
149,charge,cargar
150,check,comprobar
151,child,niño
152,choice,elección
153,choose,escoger
154,church,Iglesia
155,city,ciudad
156,claim,reclamación
157,class,clase
158,clean,limpiar
159,clear,claro
160,clearly,claramente
161,clock,reloj
162,close,cerrar
163,clothes,ropa
164,club,club
165,cold,frío
166,college,universidad
167,color,color
168,come,ven
169,comment,comentario
170,common,común
171,communication,comunicación
17 2,community,comunidad
173,company,empresa
174,compare,comparar
175,competition,competencia
176,complete,completar
177,completely,completamente
178,computer,computadora
179,concern,preocupación
180,conclusion,conclusión
181,condition,condición
182,consider,considerar
183,contact,contacto
184,contain,contiene
185,continue,continuar
186,contract,contrato
187,control,controlar
188,conversation,conversacion
189,cost,costo
190,could,podría
191,country,país
192,couple,Pareja
193,course,curso
194,court,corte
195,cover,cubrir
196,create,crear
197,credit,crédito
198,cross,cruzar
199,culture,cultura
200,current,corriente
201,customer,cliente
202,cut,cortar
203,daily,diario
204,damage,dañar
205,dance,baile / danza
206,dark,oscuro
207,data,datos
208,date,fecha
209,daughter,hija
210,day,día
211,dead,muerto
212,deal,acuerdo
213,death,muerte
214,debate,debate
215,decide,decidir
216,decision,decisión
217,deep,profundo
218,define,definir
219,degree,la licenciatura
220,demand,demanda
221,department,departamento
222,depend,depender
223,describe,describir
224,design,diseño
225,despite,a pesar de
226,detail,detalle
227,determine,determinar
228,develop,desarrollar
229,development,desarrollo
230,die,morir
231,difference,diferencia
232,different,diferente
233,difficult,difícil
234,difficulty,dificultad
235,direct,directo
236,direction,dirección
237,director,director
238,discover,descubrir
239,discuss,discutir
240,discussion,discusión
241,disease,enfermedad
242,do,hacer
243,doctor,doctor
244,document,documento
245,dog,perro
246,dollar,dólar
247,door,puerta
248,doubt,duda
249,down,abajo
250,draw,dibujar
251,dream,sueño
252,dress,vestido
253,drink,beber
254,drive,conducir
255,drop,soltar
256,drug,fármaco
257,due,debido
258,during,durante
259,each,cada
260,early,temprano
261,earn,ganar
262,easily,fácilmente
263,easy,fácil
264,eat,comer
265,economic,económico
266,economy,economía
267,education,educación
268,effect,efecto
269,effort,esfuerzo
270,either,ya sea
271,election,elección
272,else,más
273,employee,empleado
274,encourage,animar
